Income,Credit_History,Outstanding_Balance,Employment,Repay_Loan
57450.71,0.41,30683.79,Employed,1
47926.04,0.07,26041.21,Employed,1
59715.33,0.35,43036.39,Employed,0
72845.45,0.11,5205.56,Unemployed,1
46487.7,0.81,32592.33,Employed,1
46487.95,0.95,31464.41,Employed,1
73688.19,0.07,10266.21,Employed,1
61511.52,0.96,30071.33,Employed,1
42957.88,0.52,23361.45,Self-Employed,1
58138.4,0.3,17725.24,Employed,1
43048.73,0.08,11760.65,Employed,1
43014.05,0.5,12808.91,Self-Employed,1
53629.43,0.79,40498.12,Employed,1
21300.8,0.71,20006.83,Employed,0
24126.23,0.05,27821.3,Unemployed,0
41565.69,0.07,12091.01,Employed,1
34807.53,0.4,12201.47,Employed,1
54713.71,0.3,30819.85,Employed,1
36379.64,0.23,6504.24,Employed,1
28815.44,0.28,15847.86,Employed,1
71984.73,0.8,20340.27,Self-Employed,1
46613.36,0.93,21113.73,Employed,1
51012.92,0.41,18209.07,Self-Employed,1
28628.78,0.91,23958.2,Unemployed,0
41834.26,0.32,26928.56,Employed,1
51663.84,0.48,27346.38,Employed,1
32735.1,0.23,10141.96,Employed,1
55635.47,0.64,17158.45,Unemployed,1
40990.42,0.98,31947.63,Self-Employed,1
45624.59,0.6,28946.47,Employed,0
40974.4,0.36,6271.41,Employed,1
77784.17,0.65,23514.8,Employed,1
49797.54,0.12,217.75,Unemployed,1
34134.34,0.89,20469.35,Employed,1
62338.17,0.5,38977.67,Employed,1
31687.35,0.45,10521.07,Self-Employed,1
53132.95,0.59,11656.77,Employed,1
20604.95,0.62,27640.3,Employed,1
30077.21,0.07,4571.98,Employed,1
52952.92,0.68,13672.45,Employed,1
61077.0,0.24,25964.41,Employed,1
52570.52,0.71,13657.14,Unemployed,1
48265.28,0.82,17640.3,Employed,1
45483.44,0.8,27441.86,Employed,1
27822.17,0.55,24215.46,Employed,1
39202.34,0.52,22668.18,Employed,1
43090.42,0.14,16608.78,Employed,1
65856.83,0.78,23700.61,Self-Employed,1
55154.27,0.27,18762.67,Self-Employed,1
23554.4,0.5,24578.06,Employed,0
54861.26,0.28,15030.68,Employed,1
44223.77,0.13,18174.31,Employed,1
39846.17,0.63,10100.42,Unemployed,1
59175.14,0.05,19649.92,Employed,1
65464.99,0.75,11889.99,Self-Employed,1
63969.2,0.32,8859.54,Employed,1
37411.74,0.0,22586.61,Unemployed,0
45361.81,0.51,22127.4,Self-Employed,1
54968.95,0.05,27828.74,Self-Employed,1
64633.18,0.28,15688.74,Employed,1
42812.39,0.71,24080.53,Employed,1
47215.12,0.06,25507.98,Employed,1
33404.98,0.84,24447.74,Self-Employed,1
32056.9,0.0,11743.46,Employed,1
62187.89,0.25,21493.63,Unemployed,1
70343.6,0.74,23641.4,Self-Employed,1
