ID,Age,Gender,Marital Status,Income Level,Purchase History,Coverage,Premium,Education Level,Geographic Information,Occupation,Behavioral Data,Interactions with Customer Service,Insurance Products Owned,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language
1,31,Female,Single,1529.820781,3/9/2025,25166,980.816,Doctorate,Sikkim,Nurse,policy3,Email,policy3,Group,Email,Email,Weekends,Mandarin
2,63,Female,Widowed,4394.148512,4/18/2001,16321.8,124.187,Master's Degree,Punjab,Doctor,policy5,Mobile App,policy4,Family,In-Person Meeting,Text,Evening,German
3,34,Female,Married,4302.381764,5/5/2020,9997.6,148.024,High School Diploma,Mizoram,Doctor,policy3,Mobile App,policy1,Business,Email,Mail,Anytime,German
4,51,Female,Married,2642.915467,10/2/2015,13911.6,318.735,Bachelor's Degree,Chhattisgarh,Manager,policy2,Mobile App,policy4,Group,In-Person Meeting,In-Person Meeting,Evening,French
5,29,Male,Divorced,8317.28256,3/17/2021,31365.3,42.681,Master's Degree,Tripura,Teacher,policy5,Phone,policy4,Group,Text,Text,Afternoon,Mandarin
6,36,Male,Married,2746.237079,4/5/2023,34194,1000.763,Doctorate,Telangana,Lawyer,policy3,In-Person,policy3,Business,Phone,Text,Morning,French
7,44,Male,Divorced,10333.85997,2/6/2024,9806.8,20.434,Bachelor's Degree,Delhi,Engineer,policy2,In-Person,policy3,Business,Email,Mail,Evening,German
8,62,Female,Married,4499.847713,11/4/1993,32332.6,232.475,High School Diploma,Tripura,Salesperson,policy1,In-Person,policy2,Group,Mail,Email,Weekends,German
9,37,Male,Divorced,9349.552461,3/9/2023,8854.6,20.294,Doctorate,Maharashtra,Teacher,policy2,Chat,policy4,Business,Phone,Phone,Weekends,English
10,18,Male,Married,1902.483643,4/1/2024,41725.7,1788.001,High School Diploma,Telangana,Nurse,policy5,Mobile App,policy1,Family,Email,Email,Anytime,German
11,38,Female,Divorced,2124.907935,1/10/2016,39723.4,589.095,Doctorate,Uttar Pradesh,Nurse,policy5,Phone,policy2,Business,Email,In-Person Meeting,Afternoon,Spanish
12,21,Male,Single,1892.661566,4/18/2024,13667.2,430.106,Master's Degree,Manipur,Artist,policy5,In-Person,policy4,Business,Mail,Email,Anytime,English
13,34,Male,Divorced,4095.398782,9/5/2018,40291.2,1018.846,Associate Degree,Jharkhand,Nurse,policy2,Chat,policy2,Business,Phone,Phone,Afternoon,German
14,61,Female,Married,4555.383827,11/9/1986,39998.2,203.053,Bachelor's Degree,Assam,Artist,policy3,Mobile App,policy1,Business,Email,Email,Morning,French
15,41,Female,Married,2817.385717,3/20/2016,7771.6,185.685,Associate Degree,Uttar Pradesh,Teacher,policy3,Chat,policy1,Individual,Email,In-Person Meeting,Weekends,English
16,33,Male,Single,7670.741126,11/13/2020,40406,125.707,Associate Degree,Kerala,Manager,policy3,Chat,policy1,Business,In-Person Meeting,In-Person Meeting,Afternoon,Mandarin
17,30,Female,Single,1840.054109,9/5/2024,5830.8,194.471,High School Diploma,Haryana,Artist,policy5,Chat,policy2,Family,In-Person Meeting,Text,Anytime,French
18,58,Male,Divorced,11561.92194,1/5/2024,22290.5,75.725,Associate Degree,Uttarakhand,Artist,policy3,Chat,policy3,Group,Phone,Mail,Morning,English
19,50,Female,Married,4712.64471,11/29/2010,9601.5,51.166,Bachelor's Degree,Manipur,Teacher,policy4,Mobile App,policy2,Individual,In-Person Meeting,Phone,Anytime,Spanish
20,42,Male,Single,10537.53443,3/21/2021,14542.8,40.657,Doctorate,Andaman and Nicobar Islands,Entrepreneur,policy2,Email,policy4,Business,Email,Phone,Morning,English
21,30,Male,Single,2393.605458,10/21/2024,42237,2111.355,Master's Degree,Nagaland,Nurse,policy1,Mobile App,policy1,Family,Mail,In-Person Meeting,Weekends,Mandarin
22,29,Male,Divorced,10631.46847,2/20/2024,41497,139.748,Associate Degree,Arunachal Pradesh,Artist,policy3,Chat,policy1,Group,Email,Text,Afternoon,Mandarin
23,26,Female,Single,1925.160303,7/19/2024,19914.3,599.723,Doctorate,Uttarakhand,Engineer,policy3,Email,policy3,Business,Text,Mail,Anytime,German
24,44,Female,Married,2012.739404,11/30/2021,43056.2,1151.426,Associate Degree,Uttar Pradesh,Nurse,policy1,Email,policy1,Group,Phone,Mail,Morning,Spanish
25,36,Female,Married,501.317866,4/25/2019,10418.9,275.555,Bachelor's Degree,Tripura,Nurse,policy3,Phone,policy4,Business,In-Person Meeting,In-Person Meeting,Evening,French
26,41,Female,Divorced,3838.661909,1/1/2021,32177.2,108.949,Master's Degree,Puducherry,Salesperson,policy1,Phone,policy5,Family,Text,Mail,Afternoon,German
27,54,Female,Divorced,10327.84248,5/7/2021,6467.7,22.973,Master's Degree,Mizoram,Teacher,policy1,Chat,policy1,Group,Email,Text,Weekends,English
28,48,Female,Widowed,5452.662517,7/10/1988,25860.6,163.895,High School Diploma,Uttarakhand,Engineer,policy3,Mobile App,policy5,Business,Email,Text,Afternoon,Mandarin
29,52,Female,Single,3272.33254,9/28/2005,29983.6,295.742,Associate Degree,Dadra and Nagar Haveli,Salesperson,policy3,Phone,policy4,Group,Email,Email,Anytime,Spanish
30,30,Male,Single,1857.673248,8/26/2023,40690.2,1625.309,Master's Degree,Punjab,Lawyer,policy4,Mobile App,policy4,Business,Text,In-Person Meeting,Evening,English
31,58,Male,Married,4003.555904,12/26/1983,16322.1,158.961,Master's Degree,Maharashtra,Nurse,policy3,Chat,policy3,Group,Phone,In-Person Meeting,Weekends,German
32,31,Female,Single,2202.980753,11/25/2024,18918.2,782.436,Doctorate,Assam,Salesperson,policy1,Phone,policy2,Business,Email,In-Person Meeting,Evening,English
33,61,Female,Widowed,6475.809244,2/15/2003,33381.6,224.022,Associate Degree,Bihar,Manager,policy1,In-Person,policy1,Group,Text,Phone,Evening,Spanish
34,32,Female,Single,3256.694417,12/16/2016,20057.5,570.158,Doctorate,Uttarakhand,Entrepreneur,policy1,Mobile App,policy5,Business,In-Person Meeting,Email,Morning,Spanish
35,64,Female,Widowed,6494.520274,8/8/2018,46954.3,454.147,Associate Degree,Chandigarh,Lawyer,policy5,In-Person,policy1,Business,Text,Mail,Weekends,Spanish
36,30,Male,Married,1587.215429,10/3/2023,44845.6,1403.536,Doctorate,Telangana,Engineer,policy5,Mobile App,policy4,Group,Email,Mail,Evening,Spanish
37,40,Female,Divorced,2397.402006,5/30/2022,37904.1,893.829,Bachelor's Degree,Chhattisgarh,Manager,policy5,Mobile App,policy1,Family,Email,Phone,Afternoon,French
38,36,Female,Married,1003.520688,5/16/2017,46005.1,717.988,Associate Degree,Dadra and Nagar Haveli,Lawyer,policy4,In-Person,policy4,Individual,Mail,Phone,Morning,Spanish
39,26,Female,Single,1963.14038,4/16/2024,24117.2,1041.551,High School Diploma,Meghalaya,Entrepreneur,policy3,Phone,policy2,Group,Email,Text,Anytime,English
40,29,Male,Separated,5385.913493,9/11/2023,47087.3,95.064,Bachelor's Degree,Goa,Entrepreneur,policy5,Mobile App,policy1,Individual,Phone,Email,Morning,English
41,38,Male,Divorced,11064.52462,12/4/2021,7904.8,9.944,Master's Degree,Bihar,Entrepreneur,policy3,Email,policy1,Family,Text,Mail,Weekends,German
42,50,Male,Divorced,6747.870414,3/28/2021,26896.1,54.015,Bachelor's Degree,Lakshadweep,Artist,policy1,Email,policy1,Individual,Mail,Mail,Afternoon,English
43,51,Male,Single,8486.496032,3/4/2023,8474.3,9.463,Doctorate,Andhra Pradesh,Engineer,policy4,Phone,policy5,Individual,Mail,Phone,Anytime,Spanish
44,43,Female,Married,5502.704375,9/18/2010,20294.8,175.491,Bachelor's Degree,Manipur,Artist,policy3,Phone,policy3,Family,Phone,In-Person Meeting,Afternoon,German
45,26,Male,Married,1804.799814,4/14/2024,16458.5,730.14,Master's Degree,Himachal Pradesh,Artist,policy3,In-Person,policy1,Business,Email,Phone,Afternoon,French
46,26,Male,Divorced,6591.33124,3/21/2022,7545.7,31.497,High School Diploma,Himachal Pradesh,Entrepreneur,policy3,Chat,policy4,Individual,Text,Mail,Weekends,French
47,51,Female,Widowed,4344.79232,11/20/2019,10101.2,63.689,Associate Degree,Andaman and Nicobar Islands,Lawyer,policy1,Phone,policy2,Business,In-Person Meeting,Email,Morning,Spanish
48,52,Female,Married,3323.853896,1/8/2021,48674.2,917.584,High School Diploma,Lakshadweep,Teacher,policy2,Mobile App,policy4,Family,In-Person Meeting,Phone,Anytime,German
49,40,Female,Single,6158.60092,4/3/2023,5084,19.419,Master's Degree,Chhattisgarh,Salesperson,policy5,Phone,policy1,Group,Mail,In-Person Meeting,Morning,Spanish
50,43,Male,Single,4568.320384,10/6/2023,45836.6,89.336,Doctorate,Bihar,Manager,policy1,Mobile App,policy5,Business,In-Person Meeting,Phone,Evening,English
51,39,Female,Married,3207.178304,10/15/2017,39898,548.775,Bachelor's Degree,Odisha,Manager,policy5,Phone,policy3,Family,Mail,In-Person Meeting,Weekends,Spanish
52,41,Male,Married,2948.088779,11/26/2019,7815.1,164.221,High School Diploma,Nagaland,Lawyer,policy2,Phone,policy3,Business,Text,Phone,Morning,Mandarin
53,26,Female,Divorced,1208.701656,11/12/2022,30039.6,913.966,High School Diploma,Jharkhand,Entrepreneur,policy1,Phone,policy5,Business,Email,Text,Anytime,English
54,33,Female,Married,2972.972528,7/25/2021,45581.8,575.218,Associate Degree,Gujarat,Lawyer,policy4,Phone,policy2,Family,Mail,Mail,Weekends,Mandarin
55,25,Female,Married,1722.017619,1/5/2025,23386.8,827.809,Associate Degree,Andaman and Nicobar Islands,Manager,policy3,Mobile App,policy3,Business,Text,Phone,Afternoon,Mandarin
56,35,Female,Married,1636.514394,6/11/2024,49987.7,2122.444,Doctorate,Himachal Pradesh,Teacher,policy3,Mobile App,policy1,Individual,In-Person Meeting,Email,Anytime,Spanish
57,20,Male,Married,1777.581551,5/25/2024,18633,864.237,Doctorate,Kerala,Teacher,policy1,Email,policy3,Group,In-Person Meeting,In-Person Meeting,Evening,Spanish
58,57,Female,Married,4531.901608,7/28/1981,41256.6,347.337,High School Diploma,Haryana,Salesperson,policy2,Mobile App,policy5,Group,Mail,Phone,Evening,German
59,34,Female,Single,1988.319454,1/9/2025,35411.9,1679.058,Doctorate,Lakshadweep,Artist,policy1,Mobile App,policy5,Business,Text,Phone,Weekends,French
60,35,Male,Divorced,7107.267658,11/2/2022,32930.2,69.212,Doctorate,Manipur,Salesperson,policy2,In-Person,policy1,Group,Mail,Text,Weekends,German
61,39,Male,Divorced,8626.593598,9/12/2021,7679.7,37.781,Master's Degree,Telangana,Engineer,policy3,Chat,policy3,Business,Text,Email,Anytime,German
62,63,Male,Married,5693.275819,3/25/1999,46656.1,284.071,Doctorate,Delhi,Entrepreneur,policy1,Phone,policy1,Business,Phone,In-Person Meeting,Evening,French
63,31,Female,Single,10605.44146,4/18/2023,33048.8,99.811,Doctorate,Mizoram,Doctor,policy1,Email,policy4,Individual,Text,Email,Afternoon,English
64,41,Female,Divorced,1511.268845,2/1/2016,47511.3,959.59,Associate Degree,Himachal Pradesh,Doctor,policy1,Chat,policy5,Group,Email,Email,Evening,Mandarin
65,27,Male,Single,1870.147116,12/14/2024,35562.8,1768.654,Doctorate,Tripura,Doctor,policy5,In-Person,policy3,Family,Email,In-Person Meeting,Morning,Mandarin
66,49,Female,Single,8729.811479,10/16/2023,29395,32.505,Master's Degree,Punjab,Entrepreneur,policy3,Mobile App,policy1,Individual,Email,Mail,Evening,German
67,58,Female,Widowed,4886.60474,8/5/2005,35726.8,250.689,High School Diploma,Delhi,Salesperson,policy5,Mobile App,policy2,Family,Email,Mail,Anytime,Mandarin
68,43,Male,Divorced,9429.905621,6/18/2022,41471.6,110.938,Doctorate,Uttarakhand,Teacher,policy5,Phone,policy2,Group,Phone,Email,Morning,German
69,45,Female,Married,2345.459995,7/31/2015,27449,401.565,Bachelor's Degree,Arunachal Pradesh,Nurse,policy5,Chat,policy4,Business,Text,Text,Morning,Spanish
70,25,Female,Married,968.0238483,8/21/2023,17240.9,529.988,Master's Degree,Jharkhand,Entrepreneur,policy4,Mobile App,policy2,Business,Email,Mail,Evening,German
71,42,Male,Divorced,2802.836683,5/2/2023,49190.4,659.848,Associate Degree,Dadra and Nagar Haveli,Teacher,policy2,Mobile App,policy4,Family,Mail,In-Person Meeting,Afternoon,German
72,32,Male,Divorced,8902.362332,1/4/2022,25901.9,55.905,Doctorate,Arunachal Pradesh,Artist,policy3,Chat,policy3,Individual,Phone,In-Person Meeting,Weekends,French
73,26,Female,Single,1686.962378,11/23/2024,17146.5,583.832,Master's Degree,Uttar Pradesh,Salesperson,policy4,Mobile App,policy1,Family,Email,Text,Evening,Mandarin
74,57,Female,Widowed,4776.063361,3/10/1997,41965.3,348.382,Associate Degree,Andhra Pradesh,Lawyer,policy2,Mobile App,policy1,Individual,Phone,Text,Morning,German
75,75,Male,Widowed,4862.86287,9/23/1989,33981.9,253.303,High School Diploma,Karnataka,Manager,policy5,In-Person,policy1,Business,Email,Email,Weekends,Mandarin
76,43,Male,Married,9592.007672,6/2/2023,35500.9,170.458,Bachelor's Degree,Assam,Artist,policy3,Phone,policy1,Group,Email,Phone,Weekends,Spanish
77,36,Female,Divorced,2322.280421,9/20/2018,44360.5,1305.033,Associate Degree,Andaman and Nicobar Islands,Nurse,policy2,Mobile App,policy4,Group,Phone,Phone,Afternoon,German
78,40,Female,Married,2479.547838,8/6/2017,36503.1,561.098,Associate Degree,Delhi,Nurse,policy3,Phone,policy5,Group,In-Person Meeting,Phone,Morning,Spanish
79,36,Male,Single,8589.346234,8/9/2021,46554.7,59.564,Doctorate,Sikkim,Manager,policy2,In-Person,policy3,Group,Email,In-Person Meeting,Weekends,German
80,40,Female,Divorced,2928.021369,2/24/2024,17310.6,402.268,Doctorate,Assam,Teacher,policy1,Chat,policy1,Individual,Email,Phone,Afternoon,German
81,38,Female,Married,3644.727062,7/14/2021,11621.6,218.959,Associate Degree,Uttarakhand,Doctor,policy3,Mobile App,policy5,Family,Text,Phone,Afternoon,French
82,50,Male,Married,4837.457433,3/8/1987,24961.8,191.772,Bachelor's Degree,Karnataka,Entrepreneur,policy1,Email,policy3,Group,In-Person Meeting,Phone,Afternoon,English
83,34,Female,Single,3482.811453,10/2/2015,20116.5,415.032,Bachelor's Degree,Uttarakhand,Manager,policy2,Chat,policy2,Business,In-Person Meeting,Email,Weekends,English
84,25,Female,Single,2065.267532,12/16/2024,25462.5,1215.542,Associate Degree,Lakshadweep,Doctor,policy5,Mobile App,policy4,Business,Text,In-Person Meeting,Anytime,French
85,36,Female,Divorced,2526.89563,7/16/2019,10950,315.156,Associate Degree,Andhra Pradesh,Manager,policy3,Email,policy5,Business,Text,In-Person Meeting,Morning,English
86,40,Male,Divorced,5770.191873,1/14/2023,49973.2,68.94,High School Diploma,Madhya Pradesh,Engineer,policy2,Mobile App,policy3,Family,Text,Phone,Weekends,French
87,41,Female,Married,2146.481946,5/15/2020,41246.2,886.206,Doctorate,Odisha,Salesperson,policy3,Email,policy2,Family,Mail,In-Person Meeting,Morning,English
88,28,Male,Single,1526.308299,4/30/2023,22520.3,779.686,High School Diploma,Bihar,Engineer,policy2,Mobile App,policy5,Family,Email,Phone,Afternoon,French
89,43,Female,Divorced,10024.57937,5/27/2022,23716.3,61.833,Associate Degree,Uttarakhand,Lawyer,policy3,Mobile App,policy2,Group,Mail,Email,Morning,Spanish
90,43,Female,Married,3608.583287,2/2/2018,36645.6,759.045,Master's Degree,Puducherry,Doctor,policy5,Phone,policy2,Business,Email,In-Person Meeting,Weekends,English
91,33,Female,Married,3264.914467,9/2/2019,48547.7,747.161,Master's Degree,Uttarakhand,Manager,policy1,Mobile App,policy5,Group,Email,In-Person Meeting,Afternoon,German
92,43,Male,Divorced,11100.36746,6/21/2022,42013.4,171.756,Associate Degree,Assam,Salesperson,policy4,Chat,policy1,Family,Mail,Text,Morning,English
93,37,Female,Married,4447.501587,6/8/2015,13502.4,184.837,Associate Degree,Bihar,Teacher,policy2,In-Person,policy1,Group,Text,Mail,Morning,English
94,29,Male,Single,9238.079093,2/19/2021,16214.3,66.3,Master's Degree,Haryana,Lawyer,policy3,Mobile App,policy5,Group,Mail,Phone,Evening,English
95,37,Male,Divorced,3870.801123,10/9/2019,12670.9,301.649,Doctorate,Puducherry,Doctor,policy1,Chat,policy4,Family,Email,Email,Weekends,French
96,32,Male,Married,2079.989634,6/1/2024,29855,1098.589,High School Diploma,Tripura,Salesperson,policy3,In-Person,policy5,Family,Mail,Mail,Weekends,German
97,42,Male,Married,2527.717198,3/23/2023,32519.4,754.249,Doctorate,Dadra and Nagar Haveli,Lawyer,policy5,Email,policy5,Group,Email,In-Person Meeting,Weekends,German
98,31,Female,Married,3762.701217,4/24/2022,32766.7,591.129,High School Diploma,Puducherry,Salesperson,policy3,Phone,policy3,Group,Text,In-Person Meeting,Morning,German
99,40,Female,Married,5614.425779,10/15/1977,37589.7,250.283,Master's Degree,Chhattisgarh,Entrepreneur,policy1,Mobile App,policy1,Family,Text,In-Person Meeting,Evening,German
100,40,Female,Married,2227.965772,6/25/2018,6835.4,199.719,High School Diploma,Dadra and Nagar Haveli,Manager,policy2,Chat,policy2,Business,Phone,Text,Morning,German
101,27,Male,Separated,2178.259443,7/14/2024,20290.6,728.963,Bachelor's Degree,Arunachal Pradesh,Salesperson,policy3,Mobile App,policy2,Group,Text,Text,Weekends,English
102,31,Male,Married,1556.541561,9/11/2023,17097.5,831.632,High School Diploma,Jharkhand,Engineer,policy2,In-Person,policy3,Business,Text,Phone,Weekends,German
103,52,Female,Divorced,5003.925556,9/6/2002,10865.5,69.732,High School Diploma,Tamil Nadu,Engineer,policy2,Phone,policy3,Group,Phone,Mail,Weekends,German
104,44,Male,Divorced,7506.637447,8/14/2022,47899,116.786,Doctorate,Uttar Pradesh,Nurse,policy2,Mobile App,policy3,Business,In-Person Meeting,Email,Afternoon,Mandarin
105,20,Female,Married,1655.866211,1/26/2024,26646.4,887.226,High School Diploma,Tamil Nadu,Entrepreneur,policy2,Mobile App,policy5,Group,Text,In-Person Meeting,Weekends,German
106,52,Female,Widowed,6790.879502,3/18/2009,17645.7,99.246,Bachelor's Degree,Lakshadweep,Manager,policy2,Phone,policy2,Family,In-Person Meeting,In-Person Meeting,Weekends,German
107,18,Female,Single,2079.846881,3/30/2025,16529.4,627.1,Doctorate,Uttarakhand,Salesperson,policy3,Chat,policy5,Family,Email,Mail,Afternoon,French
108,32,Male,Married,1152.641248,7/26/2023,19744.3,863.965,Master's Degree,Gujarat,Entrepreneur,policy1,Email,policy4,Business,Phone,In-Person Meeting,Evening,French
109,57,Female,Widowed,4972.466941,9/2/1989,27690.5,265.778,Doctorate,Uttar Pradesh,Nurse,policy5,Chat,policy2,Group,In-Person Meeting,In-Person Meeting,Afternoon,French
110,48,Male,Widowed,3164.678317,4/30/2007,41463.3,376.932,Doctorate,Bihar,Teacher,policy1,Mobile App,policy1,Group,Mail,Email,Morning,Mandarin
111,36,Male,Separated,9684.300508,3/1/2022,27702.1,68.364,Associate Degree,Puducherry,Lawyer,policy2,Mobile App,policy1,Group,Text,Email,Evening,German
112,24,Male,Single,1490.557739,2/25/2024,25789.2,984.495,High School Diploma,Andaman and Nicobar Islands,Salesperson,policy1,In-Person,policy2,Business,In-Person Meeting,In-Person Meeting,Afternoon,Spanish
113,43,Female,Married,5266.61597,10/1/2002,43035,239.954,Master's Degree,Himachal Pradesh,Nurse,policy5,In-Person,policy1,Family,Email,Mail,Weekends,Mandarin
114,40,Female,Married,974.9328738,11/30/2021,16102.2,479.881,High School Diploma,West Bengal,Nurse,policy3,Chat,policy2,Family,Mail,In-Person Meeting,Weekends,German
115,30,Female,Married,1077.521896,12/15/2022,48300.6,1888.766,Doctorate,Arunachal Pradesh,Doctor,policy1,Chat,policy1,Group,Text,Phone,Morning,Spanish
116,37,Male,Single,8622.043069,2/1/2024,7096.8,24.573,Bachelor's Degree,Punjab,Teacher,policy2,In-Person,policy2,Business,Mail,Mail,Anytime,English
117,43,Female,Widowed,4721.033611,11/11/1991,35286.2,249.24,Associate Degree,Delhi,Salesperson,policy5,Email,policy3,Individual,Text,Phone,Weekends,English
118,57,Male,Widowed,6129.632567,12/5/1996,16077.6,126.981,Doctorate,Punjab,Teacher,policy5,Mobile App,policy2,Business,Text,In-Person Meeting,Morning,Mandarin
119,24,Female,Single,1656.153209,9/7/2023,48183.9,2366.457,Doctorate,Chhattisgarh,Teacher,policy1,Chat,policy2,Business,Email,Email,Afternoon,Spanish
120,52,Male,Single,6052.858964,10/1/2020,14360.8,63.498,Associate Degree,Manipur,Doctor,policy3,Mobile App,policy3,Business,Email,Mail,Anytime,Spanish
121,35,Male,Divorced,2210.597679,7/27/2022,47333.2,1269.39,High School Diploma,Odisha,Nurse,policy2,Chat,policy1,Group,Text,In-Person Meeting,Morning,French
122,66,Female,Widowed,7545.70483,12/13/2008,42245.4,211.565,Doctorate,Tamil Nadu,Lawyer,policy3,Email,policy1,Group,Mail,Phone,Weekends,Spanish
123,51,Male,Married,3628.425591,11/30/2016,27518,415.707,High School Diploma,Odisha,Nurse,policy4,Chat,policy2,Business,Email,In-Person Meeting,Weekends,English
124,42,Male,Single,8567.430543,2/21/2021,19811.2,93.756,Master's Degree,Sikkim,Doctor,policy2,Phone,policy2,Individual,Text,Phone,Weekends,Spanish
125,66,Male,Married,4155.611316,5/21/1996,41844.4,246.328,Doctorate,Goa,Teacher,policy4,Mobile App,policy1,Group,In-Person Meeting,Email,Weekends,German
126,47,Female,Widowed,5634.313578,11/26/2011,13069.1,79.75,Associate Degree,Lakshadweep,Artist,policy1,Chat,policy1,Group,In-Person Meeting,In-Person Meeting,Morning,German
127,38,Male,Divorced,11178.59023,8/4/2021,41002.9,136.97,Doctorate,Tripura,Salesperson,policy2,In-Person,policy1,Individual,In-Person Meeting,Phone,Evening,German
128,26,Female,Single,1422.565712,5/20/2023,39575.7,1546.452,Doctorate,Andhra Pradesh,Entrepreneur,policy3,In-Person,policy1,Family,In-Person Meeting,Phone,Evening,German
129,52,Male,Widowed,11911.08954,1/15/2024,25444.6,48.532,Associate Degree,Andaman and Nicobar Islands,Teacher,policy3,Phone,policy3,Group,Text,Phone,Anytime,German
130,40,Male,Single,4543.856235,10/21/2021,23515.1,40.966,Master's Degree,Andaman and Nicobar Islands,Entrepreneur,policy4,Chat,policy1,Group,Email,Phone,Morning,French
131,42,Male,Married,5061.609181,9/30/2011,33079,245.901,Associate Degree,Uttarakhand,Nurse,policy4,In-Person,policy1,Group,Mail,Phone,Evening,French
132,29,Male,Single,1953.40033,9/3/2023,25761.1,1085.188,Bachelor's Degree,Uttar Pradesh,Nurse,policy2,In-Person,policy1,Group,In-Person Meeting,Email,Morning,German
133,28,Male,Divorced,8214.952745,6/27/2021,37056.2,115.957,Doctorate,Bihar,Teacher,policy5,Mobile App,policy4,Individual,In-Person Meeting,Mail,Morning,English
134,71,Female,Married,5234.377867,9/1/2004,44336.9,362.513,Associate Degree,Haryana,Entrepreneur,policy5,In-Person,policy4,Group,Text,Mail,Anytime,Spanish
