ID,Age,Gender,Marital Status,Income Level,Purchase History,Coverage,Premium,Education Level,Geographic Information,Occupation,Behavioral Data,Interactions with Customer Service,Insurance Products Owned,Policy Type,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language,Cluster
1,31,Female,Married,1529.820781,3/16/2023,25166,980.816,Doctorate,Sikkim,Nurse,policy3,Email,policy3,Group,Email,Email,Weekends,Mandarin,1
10,18,Male,Separated,1902.483643,7/2/2024,41725.7,1788.001,High School Diploma,Telangana,Nurse,policy5,Mobile App,policy1,Family,Email,Email,Anytime,German,1
12,21,Male,Separated,1892.661566,9/1/2023,13667.2,430.106,Master's Degree,Manipur,Artist,policy5,In-Person,policy4,Business,Mail,Email,Anytime,English,1
17,30,Female,Single,1840.054109,4/28/2024,5830.8,194.471,High School Diploma,Haryana,Artist,policy5,Chat,policy2,Family,In-Person Meeting,Text,Anytime,French,1
21,30,Male,Single,2393.605458,6/3/2023,42237,2111.355,Master's Degree,Nagaland,Nurse,policy1,Mobile App,policy1,Family,Mail,In-Person Meeting,Weekends,Mandarin,1
23,26,Female,Single,1925.160303,12/29/2023,19914.3,599.723,Doctorate,Uttarakhand,Engineer,policy3,Email,policy3,Business,Text,Mail,Anytime,German,1
30,30,Male,Single,1857.673248,3/3/2024,40690.2,1625.309,Master's Degree,Punjab,Lawyer,policy4,Mobile App,policy4,Business,Text,In-Person Meeting,Evening,English,1
32,31,Female,Single,2202.980753,1/16/2025,18918.2,782.436,Doctorate,Assam,Salesperson,policy1,Phone,policy2,Business,Email,In-Person Meeting,Evening,English,1
36,30,Male,Single,1587.215429,6/8/2022,44845.6,1403.536,Doctorate,Telangana,Engineer,policy5,Mobile App,policy4,Group,Email,Mail,Evening,Spanish,1
39,26,Female,Single,1963.14038,4/25/2024,24117.2,1041.551,High School Diploma,Meghalaya,Entrepreneur,policy3,Phone,policy2,Group,Email,Text,Anytime,English,1
45,26,Male,Single,1804.799814,9/18/2023,16458.5,730.14,Master's Degree,Himachal Pradesh,Artist,policy3,In-Person,policy1,Business,Email,Phone,Afternoon,French,1
53,26,Female,Single,1208.701656,6/25/2024,30039.6,913.966,High School Diploma,Jharkhand,Entrepreneur,policy1,Phone,policy5,Business,Email,Text,Anytime,English,1
55,25,Female,Single,1722.017619,9/14/2022,23386.8,827.809,Associate Degree,Andaman and Nicobar Islands,Manager,policy3,Mobile App,policy3,Business,Text,Phone,Afternoon,Mandarin,1
56,35,Female,Married,1636.514394,1/6/2025,49987.7,2122.444,Doctorate,Himachal Pradesh,Teacher,policy3,Mobile App,policy1,Individual,In-Person Meeting,Email,Anytime,Spanish,1
57,20,Male,Single,1777.581551,7/13/2024,18633,864.237,Doctorate,Kerala,Teacher,policy1,Email,policy3,Group,In-Person Meeting,In-Person Meeting,Evening,Spanish,1
59,34,Female,Single,1988.319454,7/15/2022,35411.9,1679.058,Doctorate,Lakshadweep,Artist,policy1,Mobile App,policy5,Business,Text,Phone,Weekends,French,1
65,27,Male,Single,1870.147116,11/2/2023,35562.8,1768.654,Doctorate,Tripura,Doctor,policy5,In-Person,policy3,Family,Email,In-Person Meeting,Morning,Mandarin,1
