Date,MKS.L,SBRY.L,TSCO.L
1/2/2020,213.0773315,183.0695038,219.2638702
1/3/2020,211.3008728,180.7821198,218.6638031
1/6/2020,210.3139343,178.731369,217.7209167
1/7/2020,215.544632,182.2018738,218.1495056
1/8/2020,215.7420197,179.2045898,215.1494293
1/9/2020,191.8584137,176.9172211,217.1208954
1/10/2020,188.7989655,173.5255737,213.7779694
1/13/2020,187.0224762,173.9199524,213.0922089
1/14/2020,182.5813141,173.9199524,214.3779907
1/15/2020,178.4855804,169.5818481,212.2350311
1/16/2020,181.6930847,170.055069,210.0064087
1/17/2020,184.6044922,170.6860809,213.0922089
1/20/2020,185.3447113,170.3705902,211.0350189
1/21/2020,183.8643188,167.5310669,209.663559
1/22/2020,185.0486298,164.0605469,207.3491974
1/23/2020,184.8018799,163.1140594,208.292038
1/24/2020,182.137207,165.4014435,213.3493652
1/27/2020,178.4855804,160.9055328,210.2635803
1/28/2020,181.8904724,162.0886688,210.8635559
1/29/2020,177.1038666,159.6435242,210.9492798
1/30/2020,178.2881927,160.3534241,212.492218
1/31/2020,173.6989594,159.6435242,211.6350098
2/3/2020,175.228714,158.5392761,213.3493652
2/4/2020,178.633606,159.4857941,214.549408
2/5/2020,178.2881927,160.5111847,212.8350983
2/6/2020,182.9267426,160.1956787,218.0637512
2/7/2020,181.0515747,159.3280487,218.406662
2/10/2020,179.9166107,158.5392761,220.1209564
2/11/2020,175.672821,159.5646515,217.549469
2/12/2020,178.1894989,162.4830475,219.9495392
2/13/2020,177.1532135,161.6154327,216.0922852
2/14/2020,181.4463654,162.4830475,219.2638702
2/17/2020,181.3970032,164.3760681,220.6352539
2/18/2020,178.5348969,163.1140594,219.8638306
2/19/2020,178.9296875,162.7985535,219.9495392
2/20/2020,183.8149567,164.8493042,218.4924011
2/21/2020,180.9528961,166.1901855,219.1781158
2/24/2020,176.7091064,163.1929321,213.6921692
2/25/2020,173.7483215,159.3280487,208.292038
2/26/2020,169.7019196,160.5111847,206.9205933
2/27/2020,156.9705963,153.0574646,198.006012
2/28/2020,156.329071,154.3983307,195.8631134
3/2/2020,155.2928009,161.1421509,195.6059418
3/3/2020,161.6584778,162.7196655,201.5204315
3/4/2020,159.7339783,167.7676849,206.4063263
3/5/2020,155.4902039,167.3733063,206.4919739
3/6/2020,152.1346436,166.5056915,206.2348328
3/9/2020,134.7647552,162.3253021,206.1491699
3/10/2020,133.1363068,156.68573,207.5205841
3/11/2020,127.2641068,151.0461273,198.9489288
3/12/2020,107.0321274,137.9922638,181.0340576
3/13/2020,96.16606903,141.2656097,188.6629181
3/16/2020,95.65286255,141.9754791,185.5770874
3/17/2020,91.11301422,151.4405212,193.6344299
3/18/2020,112.7562943,170.6072083,195.9487915
3/19/2020,114.4834213,165.7958069,193.8059082
3/20/2020,106.3906326,162.3253021,187.2056885
3/23/2020,90.50110626,157.2772827,181.8912354
3/24/2020,98.37678528,160.1167908,185.8342438
3/25/2020,109.154007,159.0914154,189.862915
3/26/2020,107.0321274,162.2464142,200.7489624
3/27/2020,97.88332367,165.6380463,199.3774872
3/30/2020,97.66619873,165.7958069,199.8060455
3/31/2020,97.9425354,165.9535522,196.1202698
4/1/2020,98.69260406,168.0832062,191.4915771
4/2/2020,97.96228027,161.5365448,187.548584
4/3/2020,92.77104187,168.3197784,191.9201355
4/6/2020,98.79129028,162.5619354,189.9486847
4/7/2020,109.795517,162.4830475,192.1772766
4/8/2020,106.8347473,156.0547333,191.0629425
4/9/2020,109.1046677,157.9082794,198.863205
4/14/2020,105.3543472,157.6716309,201.5204315
4/15/2020,97.86358643,158.6970367,199.3774872
4/16/2020,92.17889404,156.5673981,202.1204376
4/17/2020,96.81744385,158.7759399,204.0919342
4/20/2020,96.54109955,154.2011261,201.6918488
4/21/2020,89.8497467,158.93367,200.1489868
4/22/2020,86.84947968,161.6154327,205.8062286
4/23/2020,90.14582062,156.8434753,201.1775818
4/24/2020,89.63261414,159.0914154,202.377594
4/27/2020,93.12633514,158.6181641,201.6918488
4/28/2020,96.1858139,158.3026428,202.4632874
4/29/2020,97.62671661,163.5872955,206.1491699
4/30/2020,90.89588928,156.2519073,201.5204315
5/1/2020,91.78411865,153.4912872,202.549057
5/4/2020,89.47471619,152.032074,200.4061127
5/5/2020,85.96125793,150.3757019,200.7489624
5/6/2020,87.91537476,149.3503265,201.0061493
5/7/2020,93.87641144,151.9926147,203.4062042
5/11/2020,86.41523743,150.4940033,204.0919342
5/12/2020,91.74463654,153.8067474,211.4635925
5/13/2020,85.17172241,151.4799652,212.7493439
5/14/2020,87.52059937,147.0629425,204.6919098
5/15/2020,83.92818451,147.6939392,205.7204895
5/18/2020,86.25733185,148.1277618,207.3491974
5/19/2020,84.6782608,144.8150024,203.5776215
5/20/2020,93.7974472,144.4600372,200.9204102
5/21/2020,96.95561218,145.1699371,200.2150726
5/22/2020,93.32372284,144.4600372,200.391449
5/26/2020,98.98867798,143.9473572,197.7466125
5/27/2020,97.76489258,146.78685,201.3611908
5/28/2020,99.38344574,151.5982666,206.3864136
5/29/2020,96.48188782,153.0180054,201.2730408
6/1/2020,98.57416534,152.7813873,204.4468689
6/2/2020,97.5280304,153.0180054,201.978363
6/3/2020,105.5023956,156.8040161,202.5073242
6/4/2020,104.6141586,157.6322174,203.7415619
